fall;geolocation;id;mass;name;nametype;recclass;reclat;reclong;year
Fell;50.775,6.08333;1;21.0;Aachen;Valid;L5;50.775;6.08333;1880
Fell;56.18333,10.23333;2;720.0;Aarhus;Valid;H6;56.18333;10.23333;1951
Fell;54.21667,-113.0;6;107000.0;Abee;Valid;EH4;54.21667;-113.0;1952
Fell;16.88333,-99.9;10;1914.0;Acapulco;Valid;Acapulcoite;16.88333;-99.9;1976
Fell;-33.16667,-64.95;370;780.0;Achiras;Valid;L6;-33.16667;-64.95;1902
Fell;32.1,71.8;379;4239.0;Adhi Kot;Valid;EH4;32.1;71.8;1919
Fell;44.83333,95.16667;390;910.0;Adzhi-Bogdo (stone);Valid;LL3-6;44.83333;95.16667;1949
Fell;44.21667,0.61667;392;30000.0;Agen;Valid;H5;44.21667;0.61667;1814
Fell;-31.6,-65.23333;398;1620.0;Aguada;Valid;L6;-31.6;-65.23333;1930
Fell;-30.86667,-64.55;417;1440.0;Aguila Blanca;Valid;L;-30.86667;-64.55;1920
Fell;16.39806,-9.57028;423;1000.0;Aioun el Atrouss;Valid;Diogenite-pm;16.39806;-9.57028;1974
Fell;19.08333,8.38333;424;24000.0;Aïr;Valid;L6;19.08333;8.38333;1925
Fell;50.66667,2.33333;425;;Aire-sur-la-Lys;Valid;Unknown;50.66667;2.33333;1769
Fell;29.51667,35.05;426;779.0;Akaba;Valid;L6;29.51667;35.05;1949
Fell;29.71667,77.95;427;1800.0;Akbarpur;Valid;H4;29.71667;77.95;1838
Fell;8.91667,8.43333;432;3000.0;Akwanga;Valid;H;8.91667;8.43333;1959
Fell;39.91667,42.81667;433;50000.0;Akyumak;Valid;Iron, IVA;39.91667;42.81667;1981
Fell;24.41667,39.51667;446;160.0;Al Rais;Valid;CR2-an;24.41667;39.51667;1957
Fell;13.66033,28.96;447;700.0;Al Zarnkh;Valid;LL5;13.66033;28.96;2001
Fell;44.11667,4.08333;448;6000.0;Alais;Valid;CI1;44.11667;4.08333;1806
Fell;44.65,11.01667;453;2000.0;Albareto;Valid;L/LL4;44.65;11.01667;1766
Fell;2.0,22.66667;454;625.0;Alberta;Valid;L;2.0;22.66667;1949
Fell;45.82133,6.01533;458;252.0;Alby sur Chéran;Valid;Eucrite-mmict;45.82133;6.01533;2002
Fell;51.78333,-1.78333;461;700.0;Aldsworth;Valid;LL5;51.78333;-1.78333;1835
Fell;36.23333,37.13333;462;3200.0;Aleppo;Valid;L6;36.23333;37.13333;1873
Fell;44.88333,8.75;463;908.0;Alessandria;Valid;H5;44.88333;8.75;1860
Fell;50.95,31.81667;465;9251.0;Alexandrovsky;Valid;H4;50.95;31.81667;1900
Fell;45.26667,10.15;466;228000.0;Alfianello;Valid;L6;45.26667;10.15;1883
Fell;42.53333,-85.88333;2276;32000.0;Allegan;Valid;H5;42.53333;-85.88333;1899
Fell;26.96667,-105.31667;2278;2000000.0;Allende;Valid;CV3;26.96667;-105.31667;1969
Fell;20.74575,32.41275;48915;3950.0;Almahata Sitta;Valid;Ureilite-an;20.74575;32.41275;2008
Fell;35.27333,44.21556;2284;6000.0;Alta'ameem;Valid;LL5;35.27333;44.21556;1977
Fell;27.66667,78.25;2290;6400.0;Ambapur Nagla;Valid;H5;27.66667;78.25;1895
Fell;26.58333,85.56667;2294;2700.0;Andhara;Valid;Stone-uncl;26.58333;85.56667;1880
Fell;44.61667,-70.75;2295;3200.0;Andover;Valid;L6;44.61667;-70.75;1898
Fell;48.7,37.5;2296;600.0;Andreevka;Valid;L3;48.7;37.5;1969
Fell;20.88333,76.86667;2298;17900.0;Andura;Valid;H6;20.88333;76.86667;1939
Found;0.0,0.0;50693;256.8;Northwest Africa 5815;Valid;L5;0.0;0.0;
Fell;47.46667,-0.55;2301;;Angers;Valid;L6;47.46667;-0.55;1822
Fell;-22.96667,-44.31667;2302;1500.0;Angra dos Reis (stone);Valid;Angrite;-22.96667;-44.31667;1869
Fell;9.53333,39.71667;2304;6500.0;Ankober;Valid;H4;9.53333;39.71667;1942
Fell;25.15,105.18333;2305;2500.0;Anlong;Valid;H5;25.15;105.18333;1971
Fell;40.81056,140.78556;2313;320.0;Aomori;Valid;L6;40.81056;140.78556;1984
Fell;53.58333,-2.71667;2318;15000.0;Appley Bridge;Valid;LL6;53.58333;-2.71667;1914
Fell;43.86667,5.38333;2320;3200.0;Apt;Valid;L6;43.86667;5.38333;1803
Fell;-33.0,-66.0;2325;810.0;Arbol Solo;Valid;H5;-33.0;-66.0;1954
Fell;38.5,-94.3;2329;5070.0;Archie;Valid;H6;38.5;-94.3;1932
Fell;-31.41667,-60.66667;2340;7450.0;Arroyo Aguiar;Valid;H5;-31.41667;-60.66667;1950
Fell;42.45,9.03333;2345;41.0;Asco;Valid;H6;42.45;9.03333;1805
Fell;31.805,-97.01;48954;9500.0;Ash Creek;Valid;L6;31.805;-97.01;2009
Fell;52.05,0.3;2346;1300.0;Ashdon;Valid;L6;52.05;0.3;1923
Fell;43.03333,12.55;2353;2000.0;Assisi;Valid;H5;43.03333;12.55;1886
Fell;25.25417,80.625;4883;1280.0;Atarra;Valid;L4;25.25417;80.625;1920
Fell;20.06667,-103.66667;4884;94.2;Atemajac;Valid;L6;20.06667;-103.66667;1896
Fell;34.75,-87.0;4885;265.0;Athens;Valid;LL6;34.75;-87.0;1933
Fell;34.31667,-96.15;4888;1384.2;Atoka;Valid;L6;34.31667;-96.15;1945
Fell;44.38333,5.16667;4893;800.0;Aubres;Valid;Aubrite;44.38333;5.16667;1836
Fell;36.16667,3.66667;4899;50000.0;Aumale;Valid;L6;36.16667;3.66667;1865
Fell;44.33333,3.23333;4900;2000.0;Aumieres;Valid;L6;44.33333;3.23333;1842
Fell;43.08333,0.58333;4903;50000.0;Ausson;Valid;L5;43.08333;0.58333;1858
Fell;-21.46028,-49.95083;4905;9330.0;Avanhandava;Valid;H4;-21.46028;-49.95083;1952
Fell;46.0,13.5;4906;1230.0;Avce;Valid;Iron, IIAB;46.0;13.5;1908
Fell;25.0,-103.5;4907;146.0;Avilez;Valid;H;25.0;-103.5;1855
Fell;2.71667,32.83333;4910;134.0;Awere;Valid;L4;2.71667;32.83333;1968
Fell;36.8,-108.0;4913;2830.0;Aztec;Valid;L6;36.8;-108.0;1938
Fell;48.6,38.0;4917;18000.0;Bachmut;Valid;L6;48.6;38.0;1814
Fell;28.48333,78.5;4922;10322.0;Bahjoi;Valid;Iron, IAB-sLL;28.48333;78.5;1934
Fell;35.96667,-82.48333;4925;3700.0;Bald Mountain;Valid;L4;35.96667;-82.48333;1929
Fell;34.5,-88.66667;4926;345.0;Baldwyn;Valid;L6;34.5;-88.66667;1922
Fell;5.38333,16.38333;4928;1000.0;Bali;Valid;CV3;5.38333;16.38333;1907
Fell;16.66667,101.18333;4934;16700.0;Ban Rong Du;Valid;Iron, ungrouped;16.66667;101.18333;1993
Fell;-6.91667,107.6;4935;11500.0;Bandong;Valid;LL6;-6.91667;107.6;1871
Fell;27.7,76.33333;4936;15000.0;Bansur;Valid;L6;27.7;76.33333;1892
Fell;30.4,78.2;4937;14.0;Banswal;Valid;L5;30.4;78.2;1913
Fell;-6.33333,106.0;4938;629.0;Banten;Valid;CM2;-6.33333;106.0;1933
Fell;43.95,-0.05;4942;6400.0;Barbotan;Valid;H5;43.95;-0.05;1790
Fell;41.36667,2.16667;4944;;Barcelona (stone);Valid;OC;41.36667;2.16667;1704
Fell;42.38333,-2.5;4946;3200.0;Barea;Valid;Mesosiderite-A1;42.38333;-2.5;1842
Fell;52.73333,84.08333;4947;23.2;Barnaul;Valid;H5;52.73333;84.08333;1904
Fell;52.0,9.1;4948;17.0;Barntrup;Valid;LL4;52.0;9.1;1886
Fell;31.61667,76.8;4949;4500.0;Baroti;Valid;L6;31.61667;76.8;1910
Fell;52.56528,-1.33972;4954;44000.0;Barwell;Valid;L5;52.56528;-1.33972;1965
Fell;15.78333,-5.9;44876;29560.0;Bassikounou;Valid;H5;15.78333;-5.9;2006
Fell;52.03333,20.93583;4957;15500.0;Baszkówka;Valid;L5;52.03333;20.93583;1994
Fell;45.41667,-98.31667;4974;21000.0;Bath;Valid;H4;45.41667;-98.31667;1892
Fell;38.25,-83.75;4975;86000.0;Bath Furnace;Valid;L6;38.25;-83.75;1902
Fell;40.66813,-117.18913;56133;2900.0;Battle Mountain;Valid;L6;40.66813;-117.18913;2012
Fell;11.08333,-0.18333;4976;1557.0;Bawku;Valid;LL5;11.08333;-0.18333;1989
Fell;36.75,-93.5;4977;611.0;Baxter;Valid;L6;36.75;-93.5;1916
Fell;39.8,-101.2;4984;16000.0;Beardsley;Valid;H5;39.8;-101.2;1929
Fell;51.16667,-117.33333;4986;14000.0;Beaver Creek;Valid;H5;51.16667;-117.33333;1893
Fell;53.01667,-4.1;4993;794.0;Beddgelert;Valid;H5;53.01667;-4.1;1949
Fell;33.6,-96.46667;5005;375.0;Bells;Valid;C2-ung;33.6;-96.46667;1961
Fell;-32.33333,-64.86667;5009;;Belville;Valid;OC;-32.33333;-64.86667;1937
Fell;25.36667,82.91667;5011;3700.0;Benares (a);Valid;LL4;25.36667;82.91667;1798
Fell;32.25,-8.15;30443;25000.0;Benguerir;Valid;LL6;32.25;-8.15;2004
Fell;32.86667,10.8;5018;19000.0;Beni M'hira;Valid;L6;32.86667;10.8;2001
Fell;39.08333,-89.15;5021;1770.5;Benld;Valid;H6;39.08333;-89.15;1938
Fell;-26.16667,28.41667;5023;3880.0;Benoni;Valid;H6;-26.16667;28.41667;1943
Fell;30.0,-7.0;5024;45000.0;Bensour;Valid;LL6;30.0;-7.0;2002
Fell;45.95,-67.55;5026;2840.0;Benton;Valid;LL6;45.95;-67.55;1949
Fell;-31.91,-58.32833;48975;270.0;Berduc;Valid;L6;-31.91;-58.32833;2008
Fell;11.65,-3.65;5028;18000.0;Béréba;Valid;Eucrite-mmict;11.65;-3.65;1924
Fell;41.68333,-3.8;5029;1440.0;Berlanguillas;Valid;L6;41.68333;-3.8;1811
Fell;40.30583,-105.02325;47355;960.0;Berthoud;Valid;Eucrite-mmict;40.30583;-105.02325;2004
Fell;42.53333,-73.83333;5032;13.9;Bethlehem;Valid;H;42.53333;-73.83333;1859
Fell;43.21667,-0.23333;5034;2000.0;Beuste;Valid;L5;43.21667;-0.23333;1859
Fell;33.88333,35.5;5035;1100.0;Beyrout;Valid;LL3.8;33.88333;35.5;1921
Fell;20.88333,74.83333;5037;18.0;Bhagur;Valid;L6;20.88333;74.83333;1877
Fell;26.50833,73.11528;36591;678.0;Bhawad;Valid;LL6;26.50833;73.11528;2002
Fell;20.83333,71.46667;5039;100.0;Bherai;Valid;L6;20.83333;71.46667;1893
Fell;22.68333,90.65;5040;1047.0;Bhola;Valid;LL3-6;22.68333;90.65;1940
Fell;22.08333,86.9;5041;2500.0;Bholghati;Valid;Howardite;22.08333;86.9;1905
Fell;53.1,23.2;5042;4000.0;Bialystok;Valid;Eucrite-pmict;53.1;23.2;1827
Fell;50.13333,27.16667;5043;1900.0;Bielokrynitschie;Valid;H4;50.13333;27.16667;1887
Fell;12.45,-0.08333;5045;25000.0;Bilanga;Valid;Diogenite;12.45;-0.08333;1999
Fell;-33.15639,115.67639;5051;488.1;Binningup;Valid;H5;-33.15639;115.67639;1984
Fell;13.76667,5.3;5056;560.0;Birni N'konni;Valid;H4;13.76667;5.3;1923
Fell;34.16667,-80.28333;5059;6000.0;Bishopville;Valid;Aubrite;34.16667;-80.28333;1843
Fell;25.38333,82.6;5060;1039.0;Bishunpur;Valid;LL3.15;25.38333;82.6;1895
Fell;49.78333,30.16667;5063;1850.0;Bjelaja Zerkov;Valid;H6;49.78333;30.16667;1796
Fell;60.4,25.8;5064;330000.0;Bjurböle;Valid;L/LL4;60.4;25.8;1899
Fell;40.91667,-78.08333;5065;705.0;Black Moshannan Park;Valid;L5;40.91667;-78.08333;1941
Fell;36.83333,-97.33333;5068;2381.0;Blackwell;Valid;L5;36.83333;-97.33333;1906
Fell;31.83333,-98.83333;5071;5100.0;Blanket;Valid;L6;31.83333;-98.83333;1909
Fell;49.36667,16.63333;5072;470.0;Blansko;Valid;H6;49.36667;16.63333;1833
Fell;40.48,-89.00417;5076;67.8;Bloomington;Valid;LL6;40.48;-89.00417;1938
Fell;33.83333,115.83333;5090;7500.0;Bo Xian;Valid;LL3.9;33.83333;115.83333;1977
Fell;23.0,-102.0;5093;56.0;Bocas;Valid;L6;23.0;-102.0;1804
Fell;12.5,0.7;5097;8800.0;Bogou;Valid;Iron, IAB-MG;12.5;0.7;1962
Fell;44.55,131.63333;5098;256000.0;Boguslavka;Valid;Iron, IIAB;44.55;131.63333;1916
Fell;44.86667,10.05;5110;1676.0;Borgo San Donino;Valid;LL6;44.86667;10.05;1808
Fell;21.95,78.03333;5111;8600.0;Bori;Valid;L6;21.95;78.03333;1894
Fell;54.23333,52.48333;5112;1342.0;Boriskino;Valid;CM2;54.23333;52.48333;1930
Fell;48.15,24.28333;5113;7000.0;Borkut;Valid;L5;48.15;24.28333;1852
Fell;55.46667,35.86667;5114;500.0;Borodino;Valid;H5;55.46667;35.86667;1812
Fell;51.33333,33.88333;5117;614.0;Botschetschki;Valid;L4;51.33333;33.88333;1823
Fell;17.71067,-11.3715;57168;190.0;Boumdeid (2003);Valid;L6;17.71067;-11.3715;2003
Fell;17.17493,-11.34133;57167;3599.0;Boumdeid (2011);Valid;L6;17.17493;-11.34133;2011
Fell;54.56667,-6.33333;5121;5460.0;Bovedy;Valid;L3;54.56667;-6.33333;1969
Fell;40.5,-80.08333;5128;762.0;Bradford Woods;Valid;L;40.5;-80.08333;1886
Fell;50.6,16.3;5133;39000.0;Braunau;Valid;Iron, IIAB;50.6;16.3;1847
Fell;50.66694,8.18361;5134;1500.0;Breitscheid;Valid;H5;50.66694;8.18361;1956
Fell;53.4,9.1;5135;7250.0;Bremervörde;Valid;H/L3.9;53.4;9.1;1855
Fell;52.13333,59.31667;5140;219.0;Brient;Valid;Eucrite-pmict;52.13333;59.31667;1933
Fell;53.9,-112.88333;5156;303000.0;Bruderheim;Valid;L6;53.9;-112.88333;1960
Fell;39.77978,64.60035;30448;5300.0;Bukhara;Valid;CV3;39.77978;64.60035;2001
Fell;nan,nan;5163;2250.0;Bulls Run;Valid;Iron?;;;1964
Fell;-31.35,129.19;48653;324.0;Bunburra Rockhole;Valid;Eucrite;-31.35;129.19;2007
Fell;10.01667,9.58333;5165;357.0;Bununu;Valid;Howardite;10.01667;9.58333;1942
Fell;5.0,48.0;5169;120000.0;Bur-Gheluai;Valid;H5;5.0;48.0;1919
Fell;37.62194,-82.23722;5175;1504.0;Burnwell;Valid;H4-an;37.62194;-82.23722;1990
Fell;40.2,29.23333;5177;25000.0;Bursa;Valid;L6;40.2;29.23333;1946
Fell;46.45,25.78333;5178;5000.0;Buschhof;Valid;L6;46.45;25.78333;1863
